experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
1,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,26932.0,4.4302686057959075,0.48651869620128074,0.4863898344369004,0.041166584781105124,0.1769220877136464,0.8623501402220529,0.797016432640518,0.9423913096736917
2,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,28944.0,4.461558549515739,0.464065157546918,0.4315873665604389,0.15714496641703035,0.2516960665775954,0.7955863681150419,0.6861408490979727,0.8499573618969668
3,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,96052.0,4.982506412195327,0.42363310425011497,0.3668838762918818,0.08999422528118967,0.2178491647385804,0.8243360924677791,0.6624727083120395,0.889499020513483
5,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,6224.0,3.7940695839816323,0.44299501242519806,0.38478482292935934,0.0438638599975937,0.13133416608647383,0.8368455847002825,0.7871006296870775,0.9706196911050792
6,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,63581.0,4.803327354202639,0.38698874114040244,0.3329085071496996,0.06938553259363572,0.118177162707948,0.8269012320194644,0.6220471159757808,0.9115760810068915
7,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,61578.0,4.789425579288369,0.4316092896928287,0.39245137388843826,0.07548596566431832,0.16613595801679265,0.8653766932928815,0.6536267772131403,0.9099182770421594
8,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,94089.0,4.973538852773219,0.5638814461640295,0.608549319920781,0.11741486395750769,0.2699580223820456,0.9309342735101951,0.848732099424102,0.9645266122954018
9,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,223698.0,5.349662101249751,0.49323864768837067,0.4905550481861902,0.1150234599992556,0.2309067787677462,0.8923617743044865,0.7433473512554576,0.932742911316941
14,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,27598.0,4.4408776103102925,0.5762377031854184,0.647934547335536,0.15011336345746165,0.3523892270392233,0.8895696670016008,0.7758902779035066,0.9268272452759087
15,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,49446.0,4.694131164523868,0.518792699583291,0.5164147520085633,0.18791684297155342,0.34254937753368037,0.8567752139691543,0.736144426750658,0.8993381021941058
16,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,23164.0,4.364813556261336,0.6031537037679536,0.5912153479826716,0.2765140913778788,0.46156569583755674,0.8966741283778681,0.8084413051583571,0.924413765139109
18,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,8125.0,3.909823369650912,0.5405372055851229,0.528496418971076,0.2693200388206248,0.39025643193386933,0.8032970244486205,0.7115544192711651,0.944661196482359
21,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,33768.0,4.528505339146352,0.6923212041456125,0.7966009215123855,0.3382834427408842,0.4978735151912818,0.9515475745617158,0.8963604636950123,0.9682859546924006
22,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,73434.0,4.865897185168377,0.5717162557162148,0.6432531739893209,0.09559304028383746,0.33608281940679885,0.9092216742277901,0.7951662096489656,0.9497414731971403
23,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,25494.0,4.406437981473158,0.6144312182868517,0.5494273960877127,0.38173044352306934,0.4327999917765922,0.9183965830143653,0.8317522080292264,0.9478757406601629
24,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,14829.0,4.171111865180439,0.4351089553146403,0.5090737785322261,0.09147132511360527,0.1658608705298634,0.7280860206117752,0.692938294930133,0.7855974933615351
35,control,in_SF,distances_AV,P8_P9,1.0,8.0,9.0,5000.0,14725.0,4.168055303459139,0.5232186497171338,0.49818818488877725,0.3312288100774249,0.425392728038009,0.7586279649810275,0.6187494232780818,0.8111331703865488
38,control,in_SF,distances_AV,P8_P9,1.0,8.0,9.0,5000.0,8009.0,3.9035782936630543,0.5237817942502567,0.5947174102714514,0.06511932060633552,0.24028770449124942,0.8817007758801688,0.774548719499992,0.8893050688661847
