experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
50,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,131127.0,5.117692125280469,0.5135455282888424,0.5024702540559296,0.4056926469552132,0.4473719907022106,0.639805722553613,0.5846438372590288,0.6777818404286045
51,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,112252.0,5.0501940875927405,0.44962236448295506,0.4370361650968493,0.3543598020285847,0.39544556436439265,0.5630258248090347,0.4856397176076627,0.6290046467027423
52,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,117608.0,5.070436864577579,0.5171608528092775,0.4784227274869852,0.40214574017211313,0.4499446770456105,0.6582638697827229,0.6019364543769088,0.6918762971765876
53,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,93278.0,4.969779225683855,0.46042941869829485,0.4605345387181863,0.318119634228065,0.3769399316789658,0.6134530402555071,0.5317662094318384,0.6387063062537836
54,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,214167.0,5.330752553227862,0.4924513247760802,0.4937367559241195,0.3346464670908193,0.3997670004542609,0.6359550176942633,0.5904189295295998,0.65639191490643
55,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,315731.0,5.499317225123068,0.47613849494098404,0.4902428940668847,0.30164245423190156,0.3555538827343715,0.6467537244561683,0.5909593977144867,0.6699366628985188
56,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,138349.0,5.140976024365648,0.4566135671488671,0.44588789282206603,0.29692740592271527,0.3613900959622107,0.6130594924991687,0.5662462794088889,0.6356979165331574
57,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,1700074.0,6.230467825550163,0.4417121676806253,0.43964677111879713,0.28294993873493773,0.3395346782834352,0.5771451833930846,0.5587057740752347,0.5967964223835581
58,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,921756.0,5.964615973246866,0.3955013488553758,0.4099187303844042,0.26936036701739424,0.3368991082979123,0.5137340944195158,0.45665251669724316,0.5366925763771346
59,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,895470.0,5.9520510407124645,0.35787280039137476,0.3435543803741247,0.18811595186086633,0.27808446571328976,0.5205685999318657,0.4704337678244387,0.5656562492573881
60,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,1302798.0,6.114877083182956,0.5395200432162368,0.5338526481231518,0.4576457169398567,0.48850723640475446,0.6299946805637606,0.5843188670497981,0.6576879446635174
69,Cdc42,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,1139128.0,6.056572527038146,0.4186039948810243,0.4117967110755022,0.2616675775528079,0.33292279111623013,0.5620900433342396,0.5243715144370076,0.6157880179276606
70,Cdc42,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,796614.0,5.901247934598189,0.3852933902214997,0.3989840739967926,0.2178290813798642,0.2973042944427895,0.5326549940427109,0.4686173157853384,0.5706168031620562
138,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,115597.0,5.06294656332022,0.43059847400758217,0.4176160074084423,0.3509475543762216,0.3839881673550799,0.5432896683391252,0.4611790841314943,0.6036348530385619
139,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,72597.0,4.860918674276326,0.46231278729997893,0.48742529393061695,0.2792970065840879,0.38894570767912756,0.5794062894385671,0.566964823267518,0.58408716672496
140,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,66778.0,4.82463340780055,0.49146426773676793,0.5008981987658315,0.39674508105476186,0.439015314065789,0.576263276377001,0.5333746054501891,0.6113243570151238
141,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,116627.0,5.066799104398854,0.5778099512363734,0.5947471030658111,0.41815559961470206,0.5207930009996637,0.6936939338173489,0.6438775527759587,0.7241273127867311
142,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,762511.0,5.882246113205502,0.5364588892580135,0.5376590102468681,0.45645123797096676,0.4927839916734248,0.6151429381796889,0.5793209758442862,0.6582073326830726
143,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,485839.0,5.686492374209252,0.5575877993970371,0.5198482384403116,0.485204547658621,0.49844930484816874,0.7156388809270482,0.6210134982277637,0.7587156181925686
144,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,644833.0,5.8094472548379406,0.4426533354088126,0.46199799786712936,0.29087629483590954,0.34189454690112464,0.5768325238972996,0.5278997273544987,0.6070614192301631
145,Cdc42,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,156909.0,5.195647854601842,0.49508956512714114,0.5070590164397708,0.33169114285412155,0.39146306718247637,0.6556843206044343,0.5978589433254384,0.6873226001946371
146,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,542835.0,5.7346678415979175,0.477111389087576,0.45474846055559337,0.317637985917878,0.3783834663518176,0.6543628248992428,0.5682631429593169,0.7173184567293948
147,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,223728.0,5.349720340308173,0.4810439471236708,0.47911227150932023,0.29977365704890113,0.3762489238632265,0.6505762684048494,0.5989254586525847,0.6812902864844881
148,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,342815.0,5.535059816386243,0.46954080393368847,0.46854541398482424,0.3486181112936067,0.4048760291333141,0.5858700317594305,0.540074056591178,0.6133232739018735
149,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,359583.0,5.555799151412936,0.46218172541386104,0.47933872713390946,0.27777031603641356,0.380604633567462,0.6293718179052351,0.5540020906472808,0.6755938777821145
150,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,478189.0,5.67959958162031,0.4643349889804901,0.45455021462742545,0.3031901362979874,0.3632951842672705,0.6296581274407949,0.5692360069787661,0.6829159828014149
151,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,392155.0,5.593457756662357,0.49006302116959466,0.5120523679955029,0.3098136923382815,0.37728788785232836,0.6294236767444955,0.5913783086537328,0.6536311462957071
152,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,360464.0,5.556861897676678,0.4609168424131606,0.45053100697390125,0.3151702425574238,0.39812862808178023,0.6204080334748059,0.5304119475702531,0.6494799583433658
153,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,336938.0,5.527549993645588,0.4873926336529377,0.4663529391498633,0.34519216284122733,0.4010335393534464,0.6724377578946721,0.5709711786661483,0.7312284189768936
154,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,209576.0,5.321341547088637,0.5261052535409013,0.5168394751407654,0.3845978542395846,0.4731861547151972,0.6465331854758873,0.6074668151436512,0.6715998308542861
155,Cdc42,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,191453.0,5.282062175976147,0.49567498197445437,0.4522757572857171,0.3965783617412479,0.41757006776468514,0.6380473352739062,0.592107224162019,0.6710106613619468
