experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
61,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,301553.0,5.479363653407087,0.5197656546280599,0.5286096240365067,0.13094653308072662,0.2826758492768517,0.9075080183641989,0.7594071406089364,0.9565900505354344
62,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,214557.0,5.331542688114933,0.44257029172463774,0.41862134421604047,0.06852228503683915,0.21096824232150208,0.8673404864158313,0.6775387939654858,0.9395406688769111
63,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,635048.0,5.8028065526105355,0.47595949833334633,0.4796681907220921,0.09065295080515812,0.22364378634131135,0.8702721744428082,0.7178618759394361,0.9263076004694568
64,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,208841.0,5.319815764089732,0.4180698014412181,0.3679159359338229,0.06423094448979304,0.17464589754831095,0.8430867008806405,0.6579408329213136,0.9239086429537727
65,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,214399.0,5.331222755388761,0.43798580240133017,0.3942663073199896,0.07875057811629772,0.16106717968263168,0.8823189079298484,0.6807047484937685,0.9409562354733039
66,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,120654.0,5.081541724497033,0.4710224571276261,0.44368335374201506,0.09869306564651723,0.22067564833434375,0.8804935470142072,0.7207258007142301,0.9445075638650421
67,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,64904.0,4.812271462969797,0.40867518950519627,0.349445077422452,0.07078620449056679,0.15300387499473525,0.8443633784657628,0.6579002122494826,0.9120833159833744
68,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,54169.0,4.733750818262289,0.5512137165428832,0.6370513600231218,0.0954472979780521,0.25562762708079295,0.9411441662935325,0.8354354832245919,0.9648181183223604
73,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,135829.0,5.132992503342044,0.36989004390959374,0.3210763968049575,0.06107649928239132,0.1179986202367588,0.7942601957610906,0.5602692922962204,0.8782836119354435
74,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,446289.0,5.6496161826098,0.5013122905557162,0.5132693551651597,0.11896393454225444,0.24371477975933975,0.8784993208649609,0.7417353574580441,0.9231493029952619
75,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,415961.0,5.619052613610425,0.4633782118469335,0.4022947007275013,0.09092466047463522,0.19371376750495634,0.907463565331446,0.7711750535413389,0.953261142115184
76,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,116217.0,5.0652696604655,0.6143893562736373,0.7384223369548517,0.20342648497212146,0.38732159554287676,0.9096614932233839,0.8374536200120465,0.9344643542929083
77,Rac1,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,634170.0,5.802205693473752,0.49733949452257736,0.481309072999593,0.07070295602612331,0.2079338025811901,0.9112973812338169,0.7950596858873273,0.9521232080860619
78,Rac1,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,451341.0,5.654504786799512,0.4779862749180402,0.4422165276396123,0.10305452256871882,0.23661552544269154,0.8505466055842463,0.7298739496349751,0.9167708800156882
79,Rac1,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,704402.0,5.847820580384011,0.4143487785065472,0.3197560279066126,0.07775918539443791,0.17296608533419122,0.8393176759834792,0.6975020189944482,0.9078475203760735
80,Rac1,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,635365.0,5.803023287410354,0.4701794033290275,0.4456816724407586,0.11986050595504351,0.22921514624766431,0.8735442338124798,0.7039380786334299,0.9307963574865985
82,Rac1,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,240423.0,5.3809760119799614,0.44796957881756444,0.44837911692908483,0.04306780183625804,0.12796369609177027,0.8761877845536608,0.7629096418874932,0.9244604756263578
83,Rac1,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,306286.0,5.486127146131736,0.4148458108753457,0.3767515965263678,0.09532170691878139,0.21371560592230768,0.7457483891631813,0.6252350712855456,0.8069636666205154
84,Rac1,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,1766843.0,6.2471979602238195,0.5910826783277474,0.6305335752943416,0.20819537815476138,0.40079887949495596,0.8997137465619363,0.7929631622376918,0.9446696095305784
184,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,83764.0,4.923057408122183,0.4294287602438383,0.3478729669860636,0.09726470546460121,0.17910620292166735,0.8812886397181149,0.6984613548356914,0.9372202819393707
185,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,98046.0,4.9914298803764385,0.41653062361556975,0.34433178838376,0.051825327255775454,0.1273753087200955,0.8664709319496029,0.733956849397461,0.9262682631866646
186,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,118191.0,5.072584407178475,0.4770830469205809,0.4876999873521415,0.08739105957358577,0.1805919348002078,0.8969710336409212,0.7364277647509023,0.9408865355096996
187,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,208260.0,5.318605864055056,0.5070035985882255,0.49034161282535005,0.10980559238519069,0.27607019138064465,0.9039507731957079,0.7328559366115203,0.94407783538499
